1138296 522332 646874 7714 7722 4096 824374 833248 3846 12000 3978 3864 4010 3842 1094962 849804 7686 3970 1014308 4040 406010 7714 773628 7670 3978 3916 3886 915682 3850 3990 3868 
3914 608588 3532 3650 1114158 3662 3532 3550 3654 178002 3708 738594 892134 3684 3536 123618 3528 3674 795812 3580 3670 270266 1056876 3532 3658 200090 3524 3700 3528 3650 3532 
3640 3410 903610 3450 3280 3384 3280 3304 832642 1022846 949582 1115068 400834 709714 531328 1082546 3272 259988 3276 3280 573330 3308 1096580 3290 3378 3392 630688 3392 3282 695040 1012338 
3326 152838 671634 760774 3094 1088118 180318 1003378 3196 1018840 1105678 753968 3062 945408 389060 717686 3162 443006 3156 241046 3202 1113328 3126 1114918 3060 1088914 639838 3056 436502 523050 3198 
3144 2964 764072 697376 2970 2872 356452 849584 496986 922392 733736 101508 763352 382002 2976 918958 2998 2856 3034 2966 2880 343690 2880 507894 2876 739162 2982 2874 2996 2916 2950 
1128164 2702 2784 2704 2818 543486 2702 784152 2702 850324 2710 2798 2822 2722 72782 1143666 2806 2716 571114 2798 577524 1118326 450560 1165270 697844 2708 2794 875244 2786 2726 10858 
2936 446162 419852 2576 532774 2564 93698 637534 2564 2652 512944 92650 129530 2562 956648 863292 176248 536484 2594 83182 703872 2668 2562 909076 806448 2558 669860 2556 1110576 120160 2654 
1143256 2462 2514 2446 29324 590618 360452 731954 2474 5086 442294 2436 1107762 2430 2510 75892 451888 1108434 667252 479744 415328 149126 4878 2442 408912 985808 2510 702462 522500 104204 669696 
2692 388238 349136 260556 1109966 242448 2326 969240 536438 1141016 468782 1113308 4850 560384 993272 496312 239328 508920 337678 360362 487206 579340 301766 1024098 1135348 745910 623092 1109740 593958 720070 894876 
10344 4588 430814 756530 772982 899160 293006 1141876 93246 897038 1109446 2252 120890 311294 1073776 791878 608506 650842 522222 546726 234244 462574 636314 682448 315410 521296 225540 726814 2222 990148 1106280 
2442 1137486 291394 271562 1020084 367896 543978 570350 1102514 1073884 653784 681050 126516 1109240 1097630 347114 987884 1105916 826062 268044 424686 728216 62066 1019720 1038284 503524 1107116 1031568 950756 877232 1079410 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
