3878 3872 3892 3944 3940 3956 4114 3942 3948 3866 3874 3944 3962 3946 3950 3938 3872 3866 3866 11628 3862 3886 3940 7876 3932 3964 3926 366730 3898 7652 3958 
3628 3682 3626 3686 3554 3554 3620 10664 3628 3678 3620 3634 3608 1468962 7084 3620 3552 3620 3682 540732 3554 7130 3558 3546 7132 3612 3638 3622 10806 3626 3724 
3040 3048 9140 3108 3100 3112 3096 3084 3044 3052 3048 3044 3108 3140 6240 3100 3040 3044 3036 3148 3096 3096 3112 3084 3040 3048 3100 3040 3096 3108 3108 
836310 2838 2886 5718 8482 5842 2890 8686 2898 5726 5704 8490 2830 5670 2894 2894 2942 2898 2894 2902 2838 2846 8568 2934 5854 2886 2946 5662 2834 2886 5618 
2512 2560 2552 2560 2596 2600 2546 5004 2506 2508 2550 2542 2542 2586 2544 2500 2510 2504 2502 2514 2562 530952 5118 2556 2556 2504 2502 2500 985508 2560 2560 
2406 4856 2370 2374 2364 2414 2406 2412 2424 2454 2358 2368 2368 1048280 2368 2404 2446 2414 2414 2366 2364 2368 2360 2364 1426764 2448 2416 4890 2364 2368 2364 
2246 2286 2352 2322 2284 2244 2240 785102 2246 1351394 2280 4630 2306 2272 2240 2250 2244 2240 2286 2284 4558 2280 2282 2240 2240 2272 2240 2282 2290 4604 2288 
2030 2030 4076 2024 2102 2070 2102 2070 2030 2026 516760 2058 2026 2100 2098 2072 2028 2026 2032 2032 2026 2068 2080 2080 2072 1238024 2030 2024 4082 2026 2034 
1970 2008 1978 1972 1934 1968 1936 1944 1978 1980 1970 1962 1980 1936 1944 3920 1488024 1974 3972 1970 1970 1978 1934 3854 1936 1932 2006 1974 1978 1966 3936 
1772 1778 1772 1826 1798 1776 1812 1806 1840 1808 1804 1778 1778 630534 1814 1808 1485016 1936 1812 1774 1772 1798 1776 1780 1814 1812 1804 1836 1826 1818 1812 
1702 1728 499490 1706 1488596 1730 1710 1702 1702 1732 1706 1704 1740 1734 1730 1768 1736 1742 1744 1431670 1732 1708 1706 3396 1708 1704 1702 1700 3394 1716 1740 
1618 1612 1630 1612 1604 1608 1612 1620 1586 1578 1094062 780042 1582 1578 1576 1622 1614 1634 1606 1608 1632 3210 1578 1588 1578 1576 1576 1576 1580 1574 
1495278 16296 5452 11608 5320 5328 1316848 1499198 5432 5524 10788 5320 1323274 11012 5516 5448 5480 5416 5400 10620 5320 5324 10528 5440 5520 16212 5420 1332566 1488024 5320 5320 
848680 4828 4816 4800 4828 102680 1329324 4740 122452 4964 4836 4820 9624 1331812 4732 4884 4716 4792 4836 4892 4840 4840 4836 4736 4736 4732 4772 4732 4840 4836 4816 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
