3872 1545436 3874 3930 3938 3952 3866 3866 3868 815522 3866 7944 3986 4014 3960 3942 3866 3874 3920 3948 3958 4078 3928 7730 23048 3892 3956 3942 4014 7652 3864 
3550 3626 3620 7266 10752 7212 3618 10826 3746 3616 10788 10822 3546 3552 248126 7182 3612 3556 3552 7148 3552 3614 3612 3706 3630 3622 3602 3618 3626 3672 3558 
3044 3048 3044 3036 3068 3092 3040 3092 3092 3108 3104 3112 3112 3272 3108 3100 3108 12104 3044 3032 3036 3116 3036 3040 3044 3088 3156 3104 3096 6220 3084 
20074 2898 2900 8624 2950 5704 8502 2846 2886 2838 2848 2834 2834 2902 2900 2908 5776 5808 2902 2912 2948 2900 2838 1141932 2838 5802 2952 2834 2924 2838 2952 
2544 5056 5080 2556 2692 2542 2546 2524 2508 2504 2504 2546 2570 7602 2550 2550 5086 2536 2502 2506 2506 2506 1490472 2552 2554 2556 2560 2548 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2236 6744 2244 2240 2240 2248 2284 2326 2284 2282 2284 2286 2240 2258 2242 2240 2244 2244 9184 2288 2294 2278 2278 2292 2242 4514 2286 2244 2246 2240 2288 
2066 2068 2066 2076 2064 2084 2032 2030 4076 2028 2056 2064 2068 2064 2064 2070 2072 2030 2032 2030 2028 2032 2030 2074 2072 2072 2064 2074 2030 2026 2028 
1936 1944 3860 1974 3942 3946 1421478 3926 1966 1938 1938 1942 3886 3858 3892 5940 3924 3974 1970 2012 3858 5790 1942 3864 1942 1944 1978 1972 1974 2006 1976 
1776 1780 1776 1772 1814 3600 1812 1806 1800 1814 1814 1037024 1778 1776 1800 1782 1776 1186400 1818 1806 1810 1498784 1812 1810 1830 1840 1800 1798 1774 1774 1774 
1738 1736 1742 1740 1740 1732 682034 1702 1700 1732 1732 1732 1748 1742 1740 3480 1706 1698 1704 1710 1734 1736 1732 1738 1738 1734 1706 1700 1732 1708 1704 
489406 1604 1620 1608 1511648 1610 1628 4742 1576 1574 1576 1496462 1178544 1610 1606 1608 1578 1576 1574 1580 1576 1610 1610 1604 3232 1612 1606 1578 1576 1598 1578 
1520 1412394 1495774 446836 1555650 1554 577958 1560 1552 1554 1556 1552 1546 1526 1522 1518 1524 1520 1522 1520 1520 1520 1530 1522 1556 1554 1544 1556 1546 1550 1544 
1315380 5436 5328 5312 10648 5324 5572 10740 5508 5328 5416 5396 5432 5364 5440 5424 5428 5320 21296 5320 21240 5516 5468 1256094 5332 10612 5320 1252500 21728 10752 16208 
1507476 4788 18916 4832 4748 1605732 4920 4836 4884 4824 4732 4728 1048660 4824 4828 4916 4816 1120956 4736 4884 4888 4804 4828 1238846 14212 9452 4740 4816 4892 4832 4720 
