0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3866 3896 3872 3876 3872 3944 3928 1541804 1500542 3946 3880 3882 3894 3864 944340 3882 3948 1526244 3956 3944 4018 3998 3868 1561840 7766 3874 3864 1496502 3950 3940 3928 
3618 452080 3552 3612 3546 10878 10920 3622 3630 3546 21144 10794 21650 3610 7266 3560 7142 3548 3620 3738 3614 3626 3564 7148 7086 14476 3626 3626 3658 3574 3542 
3040 3040 3088 3092 3104 3144 6168 3044 3040 3052 3044 3112 3096 3092 6076 3052 3040 3036 3100 3108 3100 3108 3052 3044 3104 3156 3116 6224 3040 3108 3104 
2838 2882 2842 14072 2838 2902 2900 2900 2838 11304 2850 2898 2896 2882 5786 2846 2846 2896 5820 2894 2860 2840 2848 2882 2886 2916 5764 2836 2838 2886 5782 
2566 2546 2582 2504 2546 2558 2576 2540 2556 2560 2506 2504 2510 2542 2560 2554 5000 2510 2502 2552 2556 2564 2552 2510 2514 2514 2508 2560 2636 2550 2552 
2368 2364 2368 2414 2418 2402 2424 2364 2364 2412 2446 2404 2412 2402 7106 2364 2364 2360 334284 2456 2416 2374 2364 2364 2364 2408 2430 2452 4724 2386 2366 
2284 2282 1241636 2306 2248 2242 2246 2254 2290 2294 2242 2246 2240 2264 2250 2290 2276 2316 2322 2310 2244 2246 2280 2286 2290 2290 2278 2248 2240 2240 2300 
2086 1510744 2026 4050 2064 2072 2104 2072 2086 10116 2026 2032 2032 2068 497518 2072 2032 2168 2030 2038 2062 2074 2096 2072 2038 2026 2048 2030 2064 6216 2076 
3938 1932 5790 1978 1978 1964 1982 1970 1938 1940 3962 1976 1978 1978 1936 1938 1964 1976 2026 1978 1124814 1942 1936 1932 1934 1974 1976 1980 1932 3830 1974 
1812 1812 1814 1033072 1812 1774 1509502 1776 1776 1808 1814 1812 1786 1772 1778 1770 1800 1816 1814 1812 1774 1772 1792 1816 1818 1802 1810 1776 1774 1814 1800 
1744 3460 1710 1702 1730 1511436 1704 1732 1742 1740 1708 1702 680440 1706 1760 1730 1740 1744 1732 1704 1706 1704 1706 1702 1738 1726 1736 1702 1702 1708 1718 
1606 1608 1622 1576 1582 1510556 1464078 1606 1610 1610 197632 1580 1570828 1576 1602 1578 1610 1610 1608 1498748 1576 1578 3168 1584 1608 1406356 1501876 1626 1582 1576 1495156 
1530 225070 1513056 835420 1011000 1552 255484 1528 1520 1503666 1550 492152 1556 1520 387978 1530 1522 1550 1554 1550 1550 1522 1063302 1524 1321980 1576 1550 1552 1552 428468 1524 
4836 4832 4824 4832 4736 4752 4936 4736 4728 1005204 4888 966740 4812 4836 4844 175080 4740 4812 4724 4728 4796 4724 4736 18900 4820 1013640 4816 4940 4836 4820 4808 
